pmid,sentence,format,population,purpose,label
23167843,"Let-7 miRNA-binding site polymorphism in the KRAS 3'UTR; colorectal cancer screening population prevalence and influence on clinical outcome in patients with metastatic colorectal cancer treated with 5-fluorouracil and oxaliplatin +/- cetuximab.BACKGROUND: Recent studies have reported associations between a variant allele in a let-7 microRNA complementary site (LCS6) within the 3'untranslated region (3'UTR) of KRAS (rs61764370) and clinical outcome in metastatic colorectal cancer (mCRC) patients receiving cetuximab.The variant allele has also been associated with increased cancer risk.We aimed to reveal the incidence of the variant allele in a colorectal cancer screening population and to investigate the clinical relevance of the variant allele in mCRC patients treated with 1st line Nordic FLOX (bolus 5-fluorouracil/folinic acid and oxaliplatin) +/- cetuximab.METHODS: The feasibility of the variant allele as a risk factor for CRC was investigated by comparing the LCS6 gene frequencies in 197 CRC patients, 1060 individuals with colorectal polyps, and 358 healthy controls.The relationship between clinical outcome and LCS6 genotype was analyzed in 180 mCRC patients receiving Nordic FLOX and 355 patients receiving Nordic FLOX + cetuximab in the NORDIC-VII trial (NCT00145314).RESULTS: LCS6 frequencies did not vary between CRC patients (23%), individuals with polyps (20%), and healthy controls (20%) (P = 0.50).No statistically significant differences were demonstrated in the NORDIC-VII cohort even if numerically increased progression-free survival (PFS) and overall survival (OS) were found in patients with the LCS6 variant allele (8.5 (95% CI: 7.3-9.7 months) versus 7.8 months (95% CI: 7.4-8.3 months), P = 0.16 and 23.5 (95% CI: 21.6-25.4 months) versus 19.5 months (95% CI: 17.8-21.2 months), P = 0.31, respectively).Addition of cetuximab seemed to improve response rate more in variant carriers than in wild-type carriers (from 35% to 57% versus 44% to 47%), however the difference was not statistically significant (interaction P = 0.16).CONCLUSIONS: The LCS6 variant allele does not seem to be a risk factor for development of colorectal polyps or CRC.No statistically significant effect of the LCS6 variant allele on response rate, PFS or OS was found in mCRC patients treated with 1st line Nordic FLOX +/- cetuximab.",0,0,0,0
22474202,"Effect of oxaliplatin, fluorouracil, and leucovorin with or without cetuximab on survival among patients with resected stage III colon cancer: a randomized trial.CONTEXT: Leucovorin, fluorouracil, and oxaliplatin (FOLFOX) is the standard adjuvant therapy for resected stage III colon cancer.Adding cetuximab to FOLFOX benefits patients with metastatic wild-type KRAS but not mutated KRAS colon cancer.OBJECTIVE: To assess the potential benefit of cetuximab added to the modified sixth version of the FOLFOX regimen (mFOLFOX6) in patients with resected stage III wild-type KRAS colon cancer.DESIGN, SETTING, AND PARTICIPANTS: A randomized trial of 2686 patients aged 18 years or older at multiple institutions across North America enrolled following resection and informed consent between February 10, 2004, and November 25, 2009.The primary randomized comparison was 12 biweekly cycles of mFOLFOX6 with and without cetuximab.KRAS mutation status was centrally determined.The trial was halted after a planned interim analysis of 48% of predicted events (246/515) occurring in 1863 (of 2070 planned) patients with tumors having wild-type KRAS.A total of 717 patients with mutated KRAS and 106 with indeterminate KRAS were accrued.The 2070 patients with wild-type KRAS provided 90% power to detect a hazard ratio (HR) of 1.33 (2-sided alpha = .05), with planned interim efficacy analyses after 25%, 50%, and 75% of expected relapses.MAIN OUTCOME MEASURES: Disease-free survival in patients with wild-type KRAS mutations.Secondary end points included overall survival and toxicity.RESULTS: Median (range) follow-up was 28 (0-68) months.The trial demonstrated no benefit when adding cetuximab.Three-year disease-free survival for mFOLFOX6 alone was 74.6% vs 71.5% with the addition of cetuximab (HR, 1.21; 95% CI, 0.98-1.49; P = .08) in patients with wild-type KRAS, and 67.1% vs 65.0% (HR, 1.12; 95% CI, 0.86-1.46; P = .38) in patients with mutated KRAS, with no significant benefit in any subgroups assessed.Among all patients, grade 3 or higher adverse events (72.5% vs 52.3%; odds ratio [OR], 2.4; 95% CI, 2.1-2.8; P < .001) and failure to complete 12 cycles (33% vs 23%; OR, 1.6; 95% CI, 1.4-1.9; P < .001) were significantly higher with cetuximab.Increased toxicity and greater detrimental differences in all outcomes were observed in patients aged 70 years or older.CONCLUSION: Among patients with stage III resected colon cancer, the use of cetuximab with adjuvant mFOLFOX6 compared with mFOLFOX6 alone did not result in improved disease-free survival.TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00079274.",1,1,1,1
22565002,"Randomized phase II trial of everolimus in combination with tamoxifen in patients with hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer with prior exposure to aromatase inhibitors: a GINECO study.PURPOSE: Cross-talk between signal transduction pathways likely contributes to hormone resistance in metastatic breast cancer (mBC).Everolimus, an oral inhibitor of the mammalian target of rapamycin, has restored sensitivity in endocrine-resistance models and shown anticancer activity in early-phase mBC clinical trials.This analysis evaluated efficacy and safety of everolimus in combination with tamoxifen in patients with mBC resistant to aromatase inhibitors (AIs).PATIENTS AND METHODS: This open-label, phase II study randomly assigned postmenopausal women with hormone receptor-positive, human epidermal growth factor receptor 2-negative, AI-resistant mBC to tamoxifen 20 mg/d plus everolimus 10 mg/d (n = 54) or tamoxifen 20 mg/d alone (n = 57).Randomization was stratified by primary and secondary hormone resistance.Primary end point was clinical benefit rate (CBR), defined as the percentage of all patients with a complete or partial response or stable disease at 6 months.No formal statistical comparison between groups was planned.RESULTS: The 6-month CBR was 61% (95% CI, 47 to 74) with tamoxifen plus everolimus and 42% (95% CI, 29 to 56) with tamoxifen alone.Time to progression (TTP) increased from 4.5 months with tamoxifen alone to 8.6 months with tamoxifen plus everolimus, corresponding to a 46% reduction in risk of progression with the combination (hazard ratio [HR], 0.54; 95% CI, 0.36 to 0.81).Risk of death was reduced by 55% with tamoxifen plus everolimus versus tamoxifen alone (HR, 0.45; 95% CI, 0.24 to 0.81).The main toxicities associated with tamoxifen plus everolimus were fatigue (72% v 53% with tamoxifen alone), stomatitis (56% v 7%), rash (44% v 7%), anorexia (43% v 18%), and diarrhea (39% v 11%).CONCLUSION: This study suggests that tamoxifen plus everolimus increased CBR, TTP, and overall survival compared with tamoxifen alone in postmenopausal women with AI-resistant mBC.",1,1,1,1
23085153,"MAPPED study design: a 6 month randomised controlled study to evaluate the effect of dutasteride on prostate cancer volume using magnetic resonance imaging.OBJECTIVE: To evaluate the percentage change in volume of prostate cancer, as assessed by T2-weighted MRI, following exposure to dutasteride (Avodart) 0.5mg daily for six months.PATIENTS AND METHODS: MRI in Primary Prostate cancer after Exposure to Dutasteride (MAPPED) is a double-blind, placebo-controlled trial, supported by GlaxoSmithKline (GSK).Men with prostate cancer suitable for active surveillance (low-intermediate risk prostate cancer on biopsy), and a visible lesion on T2-weighted MRI of at least 0.2 cc, were eligible for consideration.Forty-two men were randomised to 6 months of daily dutasteride 0.5mg or placebo.Multi-parametric MRI (mpMRI) scans were performed at baseline, 3 and 6 months.The percentage changes in cancer volume over time will be compared between the dutasteride and placebo groups.Planned analyses will examine the association between tumour volume and characteristics (perfusion and contrast washout) as seen on mpMRI, HistoScan ultrasound and biopsy histopathology in both groups.DISCUSSION: MAPPED is the first randomised controlled trial to use mpMRI to look at the effect of dutasteride on the volume of prostate cancer.If dutasteride is shown to reduce the volume of prostate cancer, it might be considered as an adjunct for men on active surveillance.Analysis of the placebo arm will allow us to comment on the short-term natural variability of the MR appearance in men who are not receiving any treatment.CONCLUSION: MAPPED will evaluate the short-term effect of dutasteride on prostate cancer volume, as assessed by mpMRI, in men undergoing active surveillance for low or intermediate risk prostate cancer.The study completed recruitment in January 2012.",0,0,0,0
23158059,"Chromosome damage and cell proliferation rates in in vitro irradiated whole blood as markers of late radiation toxicity after radiation therapy to the prostate.PURPOSE: In vitro irradiated blood samples from prostate cancer patients showing late normal tissue damage were examined for lymphocyte response by measuring chromosomal aberrations and proliferation rate.METHODS AND MATERIALS: Patients were selected from a randomized trial evaluating the optimal timing of dose-escalated radiation and short-course androgen deprivation therapy.Of 438 patients, 3% experienced grade 3 late radiation proctitis and were considered to be radiosensitive.Blood samples were taken from 10 of these patients along with 20 matched samples from patients with grade 0 proctitis.The samples were irradiated at 6 Gy and, along with control samples, were analyzed for dicentric chromosomes and excess fragments per cell.Cells in first and second metaphase were also enumerated to determine the lymphocyte proliferation rate.RESULTS: At 6 Gy, there were statistically significant differences between the radiosensitive and control cohorts for 3 endpoints: the mean number of dicentric chromosomes per cell (3.26 +/- 0.31, 2.91 +/- 0.32; P=.0258), the mean number of excess fragments per cell (2.27 +/- 0.23, 1.43 +/- 0.37; P<.0001), and the proportion of cells in second metaphase (0.27 +/- 0.10, 0.46 +/- 0.09; P=.0007).CONCLUSIONS: These results may be a valuable indicator for identifying radiosensitive patients and for tailoring radiation therapy.",0,0,0,0
22474202,"Effect of oxaliplatin, fluorouracil, and leucovorin with or without cetuximab on survival among patients with resected stage III colon cancer: a randomized trial.CONTEXT: Leucovorin, fluorouracil, and oxaliplatin (FOLFOX) is the standard adjuvant therapy for resected stage III colon cancer.Adding cetuximab to FOLFOX benefits patients with metastatic wild-type KRAS but not mutated KRAS colon cancer.OBJECTIVE: To assess the potential benefit of cetuximab added to the modified sixth version of the FOLFOX regimen (mFOLFOX6) in patients with resected stage III wild-type KRAS colon cancer.DESIGN, SETTING, AND PARTICIPANTS: A randomized trial of 2686 patients aged 18 years or older at multiple institutions across North America enrolled following resection and informed consent between February 10, 2004, and November 25, 2009.The primary randomized comparison was 12 biweekly cycles of mFOLFOX6 with and without cetuximab.KRAS mutation status was centrally determined.The trial was halted after a planned interim analysis of 48% of predicted events (246/515) occurring in 1863 (of 2070 planned) patients with tumors having wild-type KRAS.A total of 717 patients with mutated KRAS and 106 with indeterminate KRAS were accrued.The 2070 patients with wild-type KRAS provided 90% power to detect a hazard ratio (HR) of 1.33 (2-sided alpha = .05), with planned interim efficacy analyses after 25%, 50%, and 75% of expected relapses.MAIN OUTCOME MEASURES: Disease-free survival in patients with wild-type KRAS mutations.Secondary end points included overall survival and toxicity.RESULTS: Median (range) follow-up was 28 (0-68) months.The trial demonstrated no benefit when adding cetuximab.Three-year disease-free survival for mFOLFOX6 alone was 74.6% vs 71.5% with the addition of cetuximab (HR, 1.21; 95% CI, 0.98-1.49; P = .08) in patients with wild-type KRAS, and 67.1% vs 65.0% (HR, 1.12; 95% CI, 0.86-1.46; P = .38) in patients with mutated KRAS, with no significant benefit in any subgroups assessed.Among all patients, grade 3 or higher adverse events (72.5% vs 52.3%; odds ratio [OR], 2.4; 95% CI, 2.1-2.8; P < .001) and failure to complete 12 cycles (33% vs 23%; OR, 1.6; 95% CI, 1.4-1.9; P < .001) were significantly higher with cetuximab.Increased toxicity and greater detrimental differences in all outcomes were observed in patients aged 70 years or older.CONCLUSION: Among patients with stage III resected colon cancer, the use of cetuximab with adjuvant mFOLFOX6 compared with mFOLFOX6 alone did not result in improved disease-free survival.TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00079274.",1,1,1,1
22321061,"Effects of exemestane and tamoxifen on hormone levels within the Tamoxifen Exemestane Adjuvant Multicentre (TEAM) trial: results of a German substudy.AIM: The aim of this study was to compare the effects of exemestane and tamoxifen on hormone levels in postmenopausal patients with hormone receptor-positive breast cancer within a Germany substudy of the Tamoxifen Exemestane Adjuvant Multinational (TEAM) trial.METHODS: Within the TEAM trial, patients were randomized to receive adjuvant treatment with exemestane for 5 years or tamoxifen for 2.5-3 years followed by exemestane for 2-2.5 years.Serum levels of testosterone, dehydroepiandrosterone sulfate (DHEAS), sex hormone binding globulin (SHBG), follicle stimulating hormone (FSH) and parathyroid hormone (PTH)-intact were measured at screening and after 3, 6 and 12 months of treatment.RESULTS: Data on hormone levels were available from 63 patients in the tamoxifen arm and 68 patients in the exemestane arm.Treatment with exemestane resulted in decreases from baseline in SHBG and PTH-intact levels, and increases from baseline in testosterone, DHEAS and FSH levels.Tamoxifen treatment resulted in increases from baseline in SHBG and PTH-intact, whereas levels of testosterone and FSH decreased and DHEAS levels did not change.At all time points assessed, the absolute change from baseline was significantly different between tamoxifen and exemestane for testosterone, SHBG, FSH and PTH-intact (all p < 0.0001).CONCLUSIONS: Exemestane and tamoxifen had statistically significantly different effects on hormone levels, including testosterone, SHBG, FSH and PTH-intact.",1,1,1,1
22498745,"Bortezomib-thalidomide-dexamethasone is superior to thalidomide-dexamethasone as consolidation therapy after autologous hematopoietic stem cell transplantation in patients with newly diagnosed multiple myeloma.In a randomized, phase 3 study, superior complete/near-complete response (CR/nCR) rates and extended progression-free survival were demonstrated with bortezomib-thalidomide-dexamethasone (VTD) versus thalidomide-dexamethasone (TD) as induction therapy before, and consolidation after, double autologous stem cell transplantation for newly diagnosed myeloma patients (intention-to-treat analysis; VTD, n = 236; TD, n = 238).This per-protocol analysis (VTD, n = 160; TD, n = 161) specifically assessed the efficacy and safety of consolidation with VTD or TD.Before starting consolidation, CR/nCR rates were not significantly different in the VTD (63.1%) and TD arms (54.7%).After consolidation, CR (60.6% vs 46.6%) and CR/nCR (73.1% vs 60.9%) rates were significantly higher for VTD-treated versus TD-treated patients.VTD consolidation significantly increased CR and CR/nCR rates, but TD did not (McNemar test).With a median follow-up of 30.4 months from start of consolidation, 3-year progression-free survival was significantly longer for the VTD group (60% vs 48% for TD).Grade 2 or 3 peripheral neuropathy (8.1% vs 2.4%) was more frequent with VTD (grade 3, 0.6%) versus TD consolidation.The superior efficacy of VTD versus TD as induction was retained despite readministration as consolidation therapy after double autologous transplantation.VTD consolidation therapy significantly contributed to improved clinical outcomes observed for patients randomly assigned to the VTD arm of the study.The study is registered at www.clinicaltrials.gov as #NCT01134484.",0,0,0,0
22473163,"Multicenter randomized phase II clinical trial comparing neoadjuvant oxaliplatin, capecitabine, and preoperative radiotherapy with or without cetuximab followed by total mesorectal excision in patients with high-risk rectal cancer (EXPERT-C).PURPOSE: To evaluate the addition of cetuximab to neoadjuvant chemotherapy before chemoradiotherapy in high-risk rectal cancer.PATIENTS AND METHODS: Patients with operable magnetic resonance imaging-defined high-risk rectal cancer received four cycles of capecitabine/oxaliplatin (CAPOX) followed by capecitabine chemoradiotherapy, surgery, and adjuvant CAPOX (four cycles) or the same regimen plus weekly cetuximab (CAPOX+C).The primary end point was complete response (CR; pathologic CR or, in patients not undergoing surgery, radiologic CR) in patients with KRAS/BRAF wild-type tumors.Secondary end points were radiologic response (RR), progression-free survival (PFS), overall survival (OS), and safety in the wild-type and overall populations and a molecular biomarker analysis.RESULTS: One hundred sixty-five eligible patients were randomly assigned.Ninety (60%) of 149 assessable tumors were KRAS or BRAF wild type (CAPOX, n = 44; CAPOX+C, n = 46), and in these patients, the addition of cetuximab did not improve the primary end point of CR (9% v 11%, respectively; P = 1.0; odds ratio, 1.22) or PFS (hazard ratio [HR], 0.65; P = .363).Cetuximab significantly improved RR (CAPOX v CAPOX+C: after chemotherapy, 51% v 71%, respectively; P = .038; after chemoradiation, 75% v 93%, respectively; P = .028) and OS (HR, 0.27; P = .034).Skin toxicity and diarrhea were more frequent in the CAPOX+C arm.CONCLUSION: Cetuximab led to a significant increase in RR and OS in patients with KRAS/BRAF wild-type rectal cancer, but the primary end point of improved CR was not met.",1,1,1,1
22782343,"Prospective randomised evaluation of traditional Chinese medicine combined with chemotherapy: a randomised phase II study of wild toad extract plus gemcitabine in patients with advanced pancreatic adenocarcinomas.BACKGROUND: An intravenous formulated extract of the venom of the wild toad Bufo bufo gargarizans Cantor or Bufo melanostictus Schneider, huachansu, is currently used in China for the treatment of lung, liver, pancreatic, and colorectal cancers.We performed a randomised, single-blinded, phase II clinical study of huachansu plus gemcitabine versus placebo plus gemcitabine in patients with locally advanced and/or metastatic pancreatic adenocarcinomas.METHODS: Patients with tissue-proven locally advanced and/or metastatic pancreatic adenocarinoma were randomly assigned to receive either gemcitabine 1000 mg m(-2) on days 1, 8, and 15 with huachansu 20 ml m(-2) daily for 21 days (arm A) or placebo (arm B); treatment cycles were 28 days in length.Primary end point was 4-month progression-free overall survival (PFS); secondary end points were objective radiographical response rate (ORR), time to progression (TTP), and toxicity.RESULTS: A total of 80 subjects were enrolled; 76 patients were evaluable (received at least 1 week therapy).Median overall survival was 160 days for arm A and 156 days for arm B (P=0.339); ORR was 9 and 3% in arms A and B, respectively (P=0.332), median TTP was 98 and 115 days, respectively (P=0.825); the median 4-month PFS was 99 and 98 days, respectively (P=0.679).CONCLUSION: Huachansu when combined with gemcitabine did not improve the outcome of patients with locally advanced and/or metastatic pancreatic cancer.",0,0,0,0
22474202,"Effect of oxaliplatin, fluorouracil, and leucovorin with or without cetuximab on survival among patients with resected stage III colon cancer: a randomized trial.CONTEXT: Leucovorin, fluorouracil, and oxaliplatin (FOLFOX) is the standard adjuvant therapy for resected stage III colon cancer.Adding cetuximab to FOLFOX benefits patients with metastatic wild-type KRAS but not mutated KRAS colon cancer.OBJECTIVE: To assess the potential benefit of cetuximab added to the modified sixth version of the FOLFOX regimen (mFOLFOX6) in patients with resected stage III wild-type KRAS colon cancer.DESIGN, SETTING, AND PARTICIPANTS: A randomized trial of 2686 patients aged 18 years or older at multiple institutions across North America enrolled following resection and informed consent between February 10, 2004, and November 25, 2009.The primary randomized comparison was 12 biweekly cycles of mFOLFOX6 with and without cetuximab.KRAS mutation status was centrally determined.The trial was halted after a planned interim analysis of 48% of predicted events (246/515) occurring in 1863 (of 2070 planned) patients with tumors having wild-type KRAS.A total of 717 patients with mutated KRAS and 106 with indeterminate KRAS were accrued.The 2070 patients with wild-type KRAS provided 90% power to detect a hazard ratio (HR) of 1.33 (2-sided alpha = .05), with planned interim efficacy analyses after 25%, 50%, and 75% of expected relapses.MAIN OUTCOME MEASURES: Disease-free survival in patients with wild-type KRAS mutations.Secondary end points included overall survival and toxicity.RESULTS: Median (range) follow-up was 28 (0-68) months.The trial demonstrated no benefit when adding cetuximab.Three-year disease-free survival for mFOLFOX6 alone was 74.6% vs 71.5% with the addition of cetuximab (HR, 1.21; 95% CI, 0.98-1.49; P = .08) in patients with wild-type KRAS, and 67.1% vs 65.0% (HR, 1.12; 95% CI, 0.86-1.46; P = .38) in patients with mutated KRAS, with no significant benefit in any subgroups assessed.Among all patients, grade 3 or higher adverse events (72.5% vs 52.3%; odds ratio [OR], 2.4; 95% CI, 2.1-2.8; P < .001) and failure to complete 12 cycles (33% vs 23%; OR, 1.6; 95% CI, 1.4-1.9; P < .001) were significantly higher with cetuximab.Increased toxicity and greater detrimental differences in all outcomes were observed in patients aged 70 years or older.CONCLUSION: Among patients with stage III resected colon cancer, the use of cetuximab with adjuvant mFOLFOX6 compared with mFOLFOX6 alone did not result in improved disease-free survival.TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00079274.",1,1,1,1
22565002,"Randomized phase II trial of everolimus in combination with tamoxifen in patients with hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer with prior exposure to aromatase inhibitors: a GINECO study.PURPOSE: Cross-talk between signal transduction pathways likely contributes to hormone resistance in metastatic breast cancer (mBC).Everolimus, an oral inhibitor of the mammalian target of rapamycin, has restored sensitivity in endocrine-resistance models and shown anticancer activity in early-phase mBC clinical trials.This analysis evaluated efficacy and safety of everolimus in combination with tamoxifen in patients with mBC resistant to aromatase inhibitors (AIs).PATIENTS AND METHODS: This open-label, phase II study randomly assigned postmenopausal women with hormone receptor-positive, human epidermal growth factor receptor 2-negative, AI-resistant mBC to tamoxifen 20 mg/d plus everolimus 10 mg/d (n = 54) or tamoxifen 20 mg/d alone (n = 57).Randomization was stratified by primary and secondary hormone resistance.Primary end point was clinical benefit rate (CBR), defined as the percentage of all patients with a complete or partial response or stable disease at 6 months.No formal statistical comparison between groups was planned.RESULTS: The 6-month CBR was 61% (95% CI, 47 to 74) with tamoxifen plus everolimus and 42% (95% CI, 29 to 56) with tamoxifen alone.Time to progression (TTP) increased from 4.5 months with tamoxifen alone to 8.6 months with tamoxifen plus everolimus, corresponding to a 46% reduction in risk of progression with the combination (hazard ratio [HR], 0.54; 95% CI, 0.36 to 0.81).Risk of death was reduced by 55% with tamoxifen plus everolimus versus tamoxifen alone (HR, 0.45; 95% CI, 0.24 to 0.81).The main toxicities associated with tamoxifen plus everolimus were fatigue (72% v 53% with tamoxifen alone), stomatitis (56% v 7%), rash (44% v 7%), anorexia (43% v 18%), and diarrhea (39% v 11%).CONCLUSION: This study suggests that tamoxifen plus everolimus increased CBR, TTP, and overall survival compared with tamoxifen alone in postmenopausal women with AI-resistant mBC.",1,1,1,1
22473163,"Multicenter randomized phase II clinical trial comparing neoadjuvant oxaliplatin, capecitabine, and preoperative radiotherapy with or without cetuximab followed by total mesorectal excision in patients with high-risk rectal cancer (EXPERT-C).PURPOSE: To evaluate the addition of cetuximab to neoadjuvant chemotherapy before chemoradiotherapy in high-risk rectal cancer.PATIENTS AND METHODS: Patients with operable magnetic resonance imaging-defined high-risk rectal cancer received four cycles of capecitabine/oxaliplatin (CAPOX) followed by capecitabine chemoradiotherapy, surgery, and adjuvant CAPOX (four cycles) or the same regimen plus weekly cetuximab (CAPOX+C).The primary end point was complete response (CR; pathologic CR or, in patients not undergoing surgery, radiologic CR) in patients with KRAS/BRAF wild-type tumors.Secondary end points were radiologic response (RR), progression-free survival (PFS), overall survival (OS), and safety in the wild-type and overall populations and a molecular biomarker analysis.RESULTS: One hundred sixty-five eligible patients were randomly assigned.Ninety (60%) of 149 assessable tumors were KRAS or BRAF wild type (CAPOX, n = 44; CAPOX+C, n = 46), and in these patients, the addition of cetuximab did not improve the primary end point of CR (9% v 11%, respectively; P = 1.0; odds ratio, 1.22) or PFS (hazard ratio [HR], 0.65; P = .363).Cetuximab significantly improved RR (CAPOX v CAPOX+C: after chemotherapy, 51% v 71%, respectively; P = .038; after chemoradiation, 75% v 93%, respectively; P = .028) and OS (HR, 0.27; P = .034).Skin toxicity and diarrhea were more frequent in the CAPOX+C arm.CONCLUSION: Cetuximab led to a significant increase in RR and OS in patients with KRAS/BRAF wild-type rectal cancer, but the primary end point of improved CR was not met.",1,1,1,1
22610788,"Sequential chemoradiotherapy with gemcitabine and cisplatin for locoregionally advanced nasopharyngeal carcinoma.We investigated a new chemoradiotherapy (CRT) regimen for locoregionally advanced nasopharyngeal carcinoma (NPC).A total of 240 patients were randomly assigned to three different CRT regimens: sequential CRT [1 cycle chemotherapy + Phase I radiotherapy (RT) + 1 cycle chemotherapy + Phase II RT + 2 cycles chemotherapy] with a cisplatin-gemcitabine (GC) regimen (800 mg/m(2) gemcitabine on Days 1 and 8 and 20 mg/m(2) cisplatin on Days 1-5, every 4 weeks) (sGC-RT); sequential chemoradiotherapy with a cisplatin-fluorouracil (PF) regimen (20 mg/m(2) DDP and 500 mg/m(2) 5-FU on Days 1-5, every 4 weeks) (sPF-RT) and cisplatin-based concurrent chemoradiotherapy plus adjuvant PF chemotherapy (Con-RT + PF).The complete response rate was higher in the sGC + RT group than in the other two groups (98.75% vs. 92.50%, p < 0.01).The 3-year overall survival (OS), disease-free survival (DFS) and distant metastasis-free survival (DMFS) rates in the sGC-RT group were significantly higher than those observed in the Con-RT group (OS, 95.0% vs. 76.3%, p < 0.001; DFS, 89.9% vs. 67.5%, p < 0.001; DMFS, 92.5% vs. 76.0%, p = 0.004) and in the sPF + RT group (OS, 95.0% vs. 73.6%, p < 0.001; DFS, 89.9% vs. 63.3%, p < 0.001; DMFS, 92.5% vs. 74.7%, p = 0.002).There were no significant differences in 3-year OS, DFS and MFS rates between the Con-RT and the sPF-RT groups.The GC-RT group experienced more hematologic toxicity, constipation and rash; however, there were no differences in late RT toxicity between the groups.These results demonstrate that a sGC-RT regimen is effective and well tolerated in patients with locoregionally advanced NPC.",1,1,1,0
23070071,"Randomized phase 3 trial comparing 2 cisplatin dose schedules in 326 patients with locally advanced squamous cell cervical carcinoma: long-term follow-up.OBJECTIVE: The evaluation of 5-year results obtained through 2 radiochemotherapy (RCT) regimens: cisplatin (CDDP), 20 mg/m x 5 days every 21 days; and CDDP, 40 mg/m per week in locally advanced cervical carcinoma.METHODS/MATERIALS: In this single-institution prospective randomized phase 3 study, 326 patients with stage IIB to IIIB squamous cell cervical carcinoma treated from March 2003 to March 2005 were included.One hundred sixty patients (49%) had stage IIB cervical carcinoma, 103 patients (31.5%) had stage IIIA cervical carcinoma, and 63 patients (19.5%) had stage IIIB cervical carcinoma.The patients were randomly assigned to 2 therapeutic arms: 164 patients in arm A (5 days) concurrent RCT with CDDP, 20 mg/m per day, days 1 to 5 every 21 days; and 162 patients in arm B (weekly), concurrent RCT with CDDP, 40 mg/m per day weekly.All patients were treated with external beam radiotherapy on the abdominopelvic region using 15-MV x-rays and a cervical boost using the x-rays arch technique or medium-dose-rate intracavitary brachytherapy.RESULTS: The 5-year survival rate obtained through the 2 RCT regimens are not statistically different, even if a tendency of superiority can be observed in the 5-day arm as far as overall survival (78% in arm A vs 72% in arm B; p = 0.14) and disease-free survival (73% in arm A and 69% in arm B; p = 0.09) are concerned.Five-year local relapse-free survival was significantly superior in the 5-day CDDP arm (87%) in comparison with the weekly CDDP arm (77%); p < 0.01.In the 5-day arm, local relapse rate was twice lower, 21/164 (13%), compared with the weekly arm, 40/162 (25%); p < 0.01).Distance failures were identical in the 2 therapeutic groups: 22/164 (13%) and 21/162 (13%), respectively, which shows the superiority of arm A regarding local control.CONCLUSIONS: The results of our study demonstrate that RCT with cisplatin, 20 mg/m x 5 days every 21 days, is superior regarding local efficacy and is less toxic compared with the weekly chemotherapy regimen.",0,0,0,0
22473163,"Multicenter randomized phase II clinical trial comparing neoadjuvant oxaliplatin, capecitabine, and preoperative radiotherapy with or without cetuximab followed by total mesorectal excision in patients with high-risk rectal cancer (EXPERT-C).PURPOSE: To evaluate the addition of cetuximab to neoadjuvant chemotherapy before chemoradiotherapy in high-risk rectal cancer.PATIENTS AND METHODS: Patients with operable magnetic resonance imaging-defined high-risk rectal cancer received four cycles of capecitabine/oxaliplatin (CAPOX) followed by capecitabine chemoradiotherapy, surgery, and adjuvant CAPOX (four cycles) or the same regimen plus weekly cetuximab (CAPOX+C).The primary end point was complete response (CR; pathologic CR or, in patients not undergoing surgery, radiologic CR) in patients with KRAS/BRAF wild-type tumors.Secondary end points were radiologic response (RR), progression-free survival (PFS), overall survival (OS), and safety in the wild-type and overall populations and a molecular biomarker analysis.RESULTS: One hundred sixty-five eligible patients were randomly assigned.Ninety (60%) of 149 assessable tumors were KRAS or BRAF wild type (CAPOX, n = 44; CAPOX+C, n = 46), and in these patients, the addition of cetuximab did not improve the primary end point of CR (9% v 11%, respectively; P = 1.0; odds ratio, 1.22) or PFS (hazard ratio [HR], 0.65; P = .363).Cetuximab significantly improved RR (CAPOX v CAPOX+C: after chemotherapy, 51% v 71%, respectively; P = .038; after chemoradiation, 75% v 93%, respectively; P = .028) and OS (HR, 0.27; P = .034).Skin toxicity and diarrhea were more frequent in the CAPOX+C arm.CONCLUSION: Cetuximab led to a significant increase in RR and OS in patients with KRAS/BRAF wild-type rectal cancer, but the primary end point of improved CR was not met.",1,1,1,1
